match_id,stage,group,match_date,venue,city,country,home_team,away_team,neutral,bracket_slot_home,bracket_slot_away
43,Group Stage,J,2026-06-22T12:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,Argentina,Austria,True,,
44,Group Stage,J,2026-06-22T20:00:00,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,Jordan,Algeria,True,,
45,Group Stage,K,2026-06-23T12:00:00,NRG Stadium,Houston,United States,Portugal,Uzbekistan,True,,
46,Group Stage,L,2026-06-23T19:00:00,BMO Field,Toronto,Canada,Panama,Croatia,True,,
47,Group Stage,K,2026-06-23T20:00:00,Estadio Akron,Guadalajara (Zapopan),Mexico,Colombia,DR Congo,True,,
48,Group Stage,L,2026-06-23T16:00:00,Gillette Stadium,Boston (Foxborough),United States,England,Ghana,True,,
49,Group Stage,C,2026-06-24T18:00:00,Hard Rock Stadium,Miami (Miami Gardens),United States,Scotland,Brazil,True,,
50,Group Stage,C,2026-06-24T18:00:00,Mercedes-Benz Stadium,Atlanta,United States,Morocco,Haiti,True,,
51,Group Stage,A,2026-06-24T19:00:00,Estadio BBVA,Monterrey (Guadalupe),Mexico,South Africa,South Korea,True,,
52,Group Stage,A,2026-06-24T19:00:00,Estadio Azteca,Mexico City,Mexico,Czech Republic,Mexico,False,,
53,Group Stage,B,2026-06-24T12:00:00,Lumen Field,Seattle,United States,Bosnia and Herzegovina,Qatar,True,,
54,Group Stage,B,2026-06-24T12:00:00,BC Place,Vancouver,Canada,Switzerland,Canada,False,,
55,Group Stage,E,2026-06-25T16:00:00,Lincoln Financial Field,Philadelphia,United States,Curaçao,Ivory Coast,True,,
56,Group Stage,E,2026-06-25T16:00:00,MetLife Stadium,New York/New Jersey (East Rutherford),United States,Ecuador,Germany,True,,
57,Group Stage,D,2026-06-25T19:00:00,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,Paraguay,Australia,True,,
58,Group Stage,D,2026-06-25T19:00:00,SoFi Stadium,Los Angeles (Inglewood),United States,Turkey,United States,False,,
59,Group Stage,F,2026-06-25T18:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,Japan,Sweden,True,,
60,Group Stage,F,2026-06-25T18:00:00,GEHA Field at Arrowhead Stadium,Kansas City,United States,Tunisia,Netherlands,True,,
61,Group Stage,I,2026-06-26T15:00:00,BMO Field,Toronto,Canada,Senegal,Iraq,True,,
62,Group Stage,I,2026-06-26T15:00:00,Gillette Stadium,Boston (Foxborough),United States,Norway,France,True,,
63,Group Stage,G,2026-06-26T20:00:00,Lumen Field,Seattle,United States,Egypt,Iran,True,,
64,Group Stage,G,2026-06-26T20:00:00,BC Place,Vancouver,Canada,New Zealand,Belgium,True,,
65,Group Stage,H,2026-06-26T19:00:00,NRG Stadium,Houston,United States,Cape Verde,Saudi Arabia,True,,
66,Group Stage,H,2026-06-26T18:00:00,Estadio Akron,Guadalajara (Zapopan),Mexico,Uruguay,Spain,True,,
67,Group Stage,L,2026-06-27T17:00:00,MetLife Stadium,New York/New Jersey (East Rutherford),United States,Panama,England,True,,
68,Group Stage,L,2026-06-27T17:00:00,Lincoln Financial Field,Philadelphia,United States,Croatia,Ghana,True,,
69,Group Stage,J,2026-06-27T21:00:00,GEHA Field at Arrowhead Stadium,Kansas City,United States,Algeria,Austria,True,,
70,Group Stage,J,2026-06-27T21:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,Jordan,Argentina,True,,
71,Group Stage,K,2026-06-27T19:30:00,Hard Rock Stadium,Miami (Miami Gardens),United States,Colombia,Portugal,True,,
72,Group Stage,K,2026-06-27T19:30:00,Mercedes-Benz Stadium,Atlanta,United States,DR Congo,Uzbekistan,True,,
73,Round of 32,,2026-06-28T12:00:00,SoFi Stadium,Los Angeles (Inglewood),United States,,,True,2A,2B
74,Round of 32,,2026-06-29T16:30:00,Gillette Stadium,Boston (Foxborough),United States,,,True,1E,THIRD_FOR_1E
